"School 
Year","LEA 
Code","LEA 
Name","School 
Code","School 
Name","Charter 
School","Current 
Grades","Direct 
Certification","Community 
Eligibility","Total 
Enrollment","# Identified 
Students",Multiplier,"# Low 
Income 
Students","% Low 
Income 
Students","School 
Served","Eligibility 
Program 
Model","Eligibility 
Justification","Program 
Justification","# Students 
Served TAS","Grades 
Served 
TAS","Served 
1st Year","Served 1st 
Year Comment"
2020-2021,320,Durham Public Schools,320343,Lucas Middle,N,"06,07,08",N,Y,531,215,1.6,344,64.78,Y,SW-SW,,,,,2018-2019,
2020-2021,320,Durham Public Schools,320344,Fayetteville Street Elementary,N,"PK,0K,01,02,03,04,05",N,Y,266,156,1.6,250,93.98,Y,SW-SW,,,,,2005-2006,
2020-2021,320,Durham Public Schools,320346,Lowe's Grove Middle,N,"06,07,08",N,N,696,N/A,N/A,591,84.91,Y,SW-SW,,,,,2010-2011,
2020-2021,320,Durham Public Schools,320347,George Watts Elementary,N,"PK,0K,01,02,03,04,05",N,N,386,N/A,N/A,139,36.01,N,TAS,,,,,,
2020-2021,320,Durham Public Schools,320348,Mangum Elementary,N,"0K,01,02,03,04,05",N,N,319,N/A,N/A,65,20.38,N,Not Title I,,,,,,
2020-2021,320,Durham Public Schools,320352,Merrick-Moore Elementary,N,"PK,0K,01,02,03,04,05",N,Y,624,321,1.6,514,82.37,Y,SW-SW,,,,,2002-2003,
2020-2021,320,Durham Public Schools,320353,Middle College HS @ DTCC,N,"11,12,XG",N,N,0,N/A,N/A,0,0,N,Not Title I,,,,,,
2020-2021,320,Durham Public Schools,320354,Morehead Montessori,N,"PK,0K,01,02,03,04,05",N,N,248,N/A,N/A,84,33.87,N,Not Title I,,,,,,
2020-2021,320,Durham Public Schools,320355,Neal Middle,N,"06,07,08",N,Y,877,368,1.6,589,67.16,Y,SW-SW,,,,,2010-2011,
2020-2021,320,Durham Public Schools,320356,Northern High,N,"09,10,11,12,XG",N,N,1511,N/A,N/A,976,64.59,N,SW,,,,,,
2020-2021,320,Durham Public Schools,320360,Oak Grove Elementary,N,"PK,0K,01,02,03,04,05",N,Y,591,245,1.6,392,66.33,Y,SW-SW,,,,,2004-2005,
2020-2021,320,Durham Public Schools,320362,Parkwood Elementary,N,"PK,0K,01,02,03,04,05",N,Y,581,250,1.6,400,68.85,Y,SW-SW,,,,,2005-2006,
2020-2021,320,Durham Public Schools,320363,E K Powe Elementary,N,"PK,0K,01,02,03,04,05",N,N,502,N/A,N/A,239,47.61,Y,SW-SW,,,,,2002-2003,
2020-2021,320,Durham Public Schools,320364,Pearsontown Elementary,N,"PK,0K,01,02,03,04,05",N,N,843,N/A,N/A,222,26.33,N,Not Title I,,,,,,
2020-2021,320,Durham Public Schools,320365,Riverside High,N,"09,10,11,12,XG",N,N,1788,N/A,N/A,1085,60.68,N,SW,,,,,,
2020-2021,320,Durham Public Schools,320366,Sherwood Githens Middle,N,"06,07,08",N,N,1111,N/A,N/A,596,53.65,Y,SW-SW,,,,,2018-2019,
2020-2021,320,Durham Public Schools,320367,R N Harris Elementary,N,"PK,0K,01,02,03,04,05",N,Y,344,156,1.6,250,72.67,Y,SW-SW,,,,,2006-2007,
2020-2021,320,Durham Public Schools,320368,Southern School of Energy and Sustainabi,N,"09,10,11,12,XG",N,Y,1301,500,1.6,800,61.49,N,SW,,,,,,
2020-2021,320,Durham Public Schools,320369,Sandy Ridge Elementary,N,"PK,0K,01,02,03,04,05",N,N,581,N/A,N/A,341,58.69,Y,SW-SW,,,,,2012-2013,
2020-2021,320,Durham Public Schools,320370,Rogers-Herr Middle,N,"06,07,08",N,N,643,N/A,N/A,258,40.12,N,SW,,,,,,
2020-2021,320,Durham Public Schools,320372,Southwest Elementary,N,"PK,0K,01,02,03,04,05",N,N,659,N/A,N/A,337,51.14,Y,SW-SW,,,,,2006-2007,
2020-2021,320,Durham Public Schools,320374,C C Spaulding Elementary,N,"PK,0K,01,02,03,04,05",N,Y,334,234,1.6,334,100,Y,SW-SW,,,,,2006-2007,
2020-2021,320,Durham Public Schools,320376,Spring Valley Elementary,N,"PK,0K,01,02,03,04,05",N,N,673,N/A,N/A,412,61.22,Y,SW-SW,,,,,2009-2010,
2020-2021,320,Durham Public Schools,320388,W G Pearson Elementary,N,"PK,0K,01,02,03,04,05",N,Y,483,270,1.6,432,89.44,Y,SW-SW,,,,,2005-2006,
2020-2021,320,Durham Public Schools,320400,Y E Smith Elementary,N,"PK,0K,01,02,03,04,05",N,Y,319,210,1.6,319,100,Y,SW-SW,,,,,2004-2005,
2020-2021,320,Durham Public Schools,320701,Hillside New Tech High,N,"09,10,11,12,XG",N,Y,316,80,1.6,128,40.51,N,SW,,,,,,
2020-2021,32A,Maureen Joy Charter,32A000,Maureen Joy Charter School,Y,"0K,01,02,03,04,05,06,07,08",N,N,616,214,1.6,342,55.52,Y,SW-SW,,,,,2011-2012,
2020-2021,32B,Healthy Start Academy,32B000,Healthy Start Academy,Y,"0K,01,02,03,04,05,06,07,08",N,Y,443,258,1.6,413,93.23,Y,SW-SW,,,,,2017-2018,
2020-2021,32C,Carter Community Charter,32C000,Carter Community Charter,Y,"0K,01,02,03,04,05,06,07,08",N,Y,232,N/A,N/A,232,100,Y,SW-SW,,,,,2017-2018,
2020-2021,32D,Kestrel Heights School,32D000,Kestrel Heights School,Y,"0K,01,02,03,04,05,06,07,08",N,N,483,N/A,N/A,145,30.02,Y,TAS-TAS,Charter School,,483,"0K,01,02,03,04,05,06,07,08",2020-2021,
2020-2021,32H,Research Triangle Charter,32H000,Research Triangle Charter,Y,"0K,01,02,03,04,05,06,07,08",N,N,706,N/A,N/A,466,66.01,Y,SW-SW,,,,,2006-2007,
2020-2021,32K,Central Park School For Children,32K000,Central Park School For Child,Y,"0K,01,02,03,04,05,06,07,08",N,Y,620,176,1.6,282,45.48,Y,SW-SW,,,,,2018-2019,
2020-2021,32L,Voyager Academy,32L000,Voyager Academy,Y,"0K,01,02,03,04,05,06,07,08,09,10,11,12",N,N,1350,N/A,N/A,280,20.74,Y,TAS-TAS,Charter School,,81,"0K,01,02,03,04,05",2012-2013,
2020-2021,32M,Global Scholars Academy,32M000,Global Scholars Academy,Y,"0K,01,02,03,04,05,06,07,08",N,Y,208,102,1.6,163,78.37,Y,SW-SW,,,,,2011-2012,
2020-2021,32N,Research Triangle High School,32N000,Research Triangle High School,Y,"09,10,11,12",N,N,589,N/A,N/A,41,6.96,Y,TAS-SW,Charter School,Always SW,,,2018-2019,
2020-2021,32P,The Institute for the Development of You,32P000,The Institute Development Young Leaders,Y,"0K,01,02,03,04,05,06,07,08",N,Y,353,318,1.6,353,100,Y,SW-SW,,,,,2015-2016,
2020-2021,32Q,Reaching All Minds Academy,32Q000,Reaching All Minds Academy,Y,"0K,01,02,03,04,05,06,07,08",N,N,375,N/A,N/A,349,93.07,Y,SW-SW,,,,,2014-2015,
2020-2021,32R,Excelsior Classical Academy,32R000,Excelsior Classical Academy,Y,"0K,01,02,03,04,05,06,07,08,09",N,Y,702,243,1.6,389,55.41,N,SW,,,,,,
2020-2021,32S,KIPP Durham College Preparatory,32S000,KIPP Durham College Preparatory,Y,"04,05,06,07,08",N,Y,354,123,1.6,197,55.65,Y,SW-SW,,,,,2015-2016,
2020-2021,32T,Discovery Charter School,32T000,Discovery Charter,Y,"06,07,08",N,N,250,85,1.6,136,54.4,Y,SW-SW,,,,,2019-2020,
2020-2021,330,Edgecombe County Public Schools,330304,G W Bulluck Elementary,N,"PK,0K,01,02,03,04,05",N,Y,755,450,1.6,720,95.36,Y,SW-SW,,,,,2006-2007,
2020-2021,330,Edgecombe County Public Schools,330308,G W Carver Elementary,N,"PK,0K,01,02,03,04,05",N,Y,648,293,1.6,469,72.38,Y,SW-SW,,,,,2006-2007,
2020-2021,330,Edgecombe County Public Schools,330312,Coker-Wimberly Elementary,N,"PK,0K,01,02,03,04,05",N,Y,296,181,1.6,290,97.97,Y,SW-SW,,,,,2006-2007,
2020-2021,330,Edgecombe County Public Schools,330326,Edgecombe Early College High,N,"09,10,11,12,13,XG",N,N,230,35,1.6,56,24.35,N,Not Title I,,,,,,
2020-2021,330,Edgecombe County Public Schools,330328,North Edgecombe High,N,"09,10,11,12,XG",N,Y,219,122,1.6,195,89.04,Y,SW-SW,,,,,2013-2014,
2020-2021,330,Edgecombe County Public Schools,330332,Phillips Middle,N,"06,07,08",N,Y,150,90,1.6,144,96,Y,SW-SW,,,,,2017-2018,
2020-2021,330,Edgecombe County Public Schools,330334,Princeville Elementary,N,"PK,0K,01,02,03,04,05",N,Y,191,135,1.6,191,100,Y,SW-SW,,,,,2006-2007,
2020-2021,330,Edgecombe County Public Schools,330340,South Edgecombe Middle,N,"06,07,08",N,Y,393,160,1.6,256,65.14,N,SW,,,,,,
2020-2021,330,Edgecombe County Public Schools,330344,W A Pattillo Middle,N,"06,07,08",N,Y,310,186,1.6,298,96.13,Y,SW-SW,,,,,2014-2015,
2020-2021,330,Edgecombe County Public Schools,330348,West Edgecombe Middle,N,"06,07,08",N,Y,372,199,1.6,318,85.48,Y,SW-SW,,,,,2012-2013,
2020-2021,330,Edgecombe County Public Schools,330350,SouthWest Edgecombe High,N,"09,10,11,12,XG",N,Y,842,328,1.6,525,62.35,N,SW,,,,,,
2020-2021,330,Edgecombe County Public Schools,330354,Stocks Elementary,N,"PK,0K,01,02,03,04,05",N,Y,573,365,1.6,573,100,Y,SW-SW,,,,,2006-2007,
2020-2021,330,Edgecombe County Public Schools,330358,Tarboro High,N,"09,10,11,12,XG",N,Y,533,234,1.6,374,70.17,N,SW,,,,,,
2020-2021,330,Edgecombe County Public Schools,330360,Martin Millennium Academy,N,"0K,01,02,03,04,05,06,07,08",N,Y,601,239,1.6,382,63.56,Y,SW-SW,,,,,2014-2015,
2020-2021,33A,North East Carolina Preparatory School,33A000,North East Carolina Prep,Y,"PK,0K,01,02,03,04,05,06,07,08,09,10,11,12",N,N,987,N/A,N/A,638,64.64,Y,SW-SW,,,,,2012-2013,
2020-2021,340,Winston Salem / Forsyth County Schools,340308,Ashley Academy,N,"PK,0K,01,02,03,04,05",N,Y,383,336,1.6,383,100,Y,SW-SW,,,,,2005-2006,
2020-2021,340,Winston Salem / Forsyth County Schools,340311,Atkins Academic & Tech High,N,"09,10,11,12",N,N,1113,108,1.6,173,15.54,N,Not Title I,,,,,,
2020-2021,340,Winston Salem / Forsyth County Schools,340314,Bolton Elementary,N,"PK,0K,01,02,03,04,05",N,Y,409,236,1.6,378,92.42,Y,SW-SW,,,,,2005-2006,
2020-2021,340,Winston Salem / Forsyth County Schools,340320,Brunson Elementary,N,"PK,0K,01,02,03,04,05",N,Y,479,209,1.6,334,69.73,Y,SW-SW,,,,,2014-2015,
2020-2021,340,Winston Salem / Forsyth County Schools,340326,Caleb's Creek Elementary,N,"PK,0K,01,02,03,04,05",N,Y,735,194,1.6,310,42.18,N,SW,,,,,,
2020-2021,340,Winston Salem / Forsyth County Schools,340330,Carver High,N,"09,10,11,12",N,Y,540,379,1.6,540,100,Y,SW-SW,,,,,2009-2010,
2020-2021,340,Winston Salem / Forsyth County Schools,340332,Career Center,N,"09,10,11,12",N,N,0,0,1.6,0,0,N,Not Title I,,,,,,
2020-2021,340,Winston Salem / Forsyth County Schools,340334,Cash Elementary,N,"PK,0K,01,02,03,04,05",N,N,691,198,1.6,317,45.88,N,SW,,,,,,
2020-2021,340,Winston Salem / Forsyth County Schools,340336,Carter High School,N,"09,10,11,12,XG",N,N,189,55,1.6,88,46.56,N,SW,,,,,,
2020-2021,340,Winston Salem / Forsyth County Schools,340344,Childrens Center,N,"PK,0K,01,02,03,04,05",N,N,113,35,1.6,56,49.56,N,SW,,,,,,
2020-2021,340,Winston Salem / Forsyth County Schools,340348,Clemmons Elementary,N,"PK,0K,01,02,03,04,05",N,N,811,96,1.6,154,18.99,N,Not Title I,,,,,,
2020-2021,340,Winston Salem / Forsyth County Schools,340350,Clemmons Middle School,N,"06,07,08",N,N,1239,285,1.6,456,36.8,N,TAS,,,,,,
2020-2021,340,Winston Salem / Forsyth County Schools,340351,Cook Literacy Model School,N,"PK,0K,01,02,03,04,05",N,Y,265,242,1.6,265,100,Y,SW-SW,,,,,2004-2005,
2020-2021,340,Winston Salem / Forsyth County Schools,340354,The Downtown School,N,"PK,0K,01,02,03,04,05,06,07,08",N,N,451,44,1.6,70,15.52,N,Not Title I,,,,,,
2020-2021,340,Winston Salem / Forsyth County Schools,340362,Early College of Forsyth Co,N,"09,10,11,12",N,N,255,27,1.6,43,16.86,N,Not Title I,,,,,,
2020-2021,340,Winston Salem / Forsyth County Schools,340364,East Forsyth High,N,"09,10,11,12",N,N,1650,387,1.6,619,37.52,N,TAS,,,,,,
2020-2021,340,Winston Salem / Forsyth County Schools,340366,East Forsyth Middle School,N,"06,07,08",N,Y,776,393,1.6,629,81.06,Y,SW-SW,,,,,2012-2013,
2020-2021,340,Winston Salem / Forsyth County Schools,340368,Easton Elementary School,N,"PK,0K,01,02,03,04,05",N,Y,571,353,1.6,565,98.95,Y,SW-SW,,,,,2005-2006,
2020-2021,340,Winston Salem / Forsyth County Schools,340372,Flat Rock Middle,N,"06,07,08",N,Y,873,385,1.6,616,70.56,Y,SW-SW,,,,,2012-2013,
2020-2021,340,Winston Salem / Forsyth County Schools,340376,Forest Park Elementary,N,"PK,0K,01,02,03,04,05",N,Y,635,411,1.6,635,100,Y,SW-SW,,,,,2017-2018,
2020-2021,340,Winston Salem / Forsyth County Schools,340380,Gibson Elementary,N,"PK,0K,01,02,03,04,05",N,Y,691,409,1.6,654,94.65,Y,SW-SW,,,,,2005-2006,
2020-2021,340,Winston Salem / Forsyth County Schools,340382,Robert B Glenn High School,N,"09,10,11,12",N,N,1379,420,1.6,672,48.73,N,SW,,,,,2020-2021,
2020-2021,340,Winston Salem / Forsyth County Schools,340384,Griffith Elementary,N,"PK,0K,01,02,03,04,05",N,Y,635,320,1.6,512,80.63,Y,SW-SW,,,,,2004-2005,
2020-2021,340,Winston Salem / Forsyth County Schools,340385,Main Street Academy,N,"06,07,08,09,10,11,12",N,Y,142,117,1.6,142,100,Y,SW-SW,,,,,2008-2009,
2020-2021,340,Winston Salem / Forsyth County Schools,340390,Hall-Woodward Elementary,N,"PK,0K,01,02,03,04,05",N,Y,697,433,1.6,693,99.43,Y,SW-SW,,,,,2004-2005,
2020-2021,340,Winston Salem / Forsyth County Schools,340392,Hanes Magnet School,N,"06,07,08",N,N,832,219,1.6,350,42.07,N,SW,,,,,2020-2021,
2020-2021,340,Winston Salem / Forsyth County Schools,340398,Virtual Academy,N,"PK,0K,01,02,03,04,05,06,07,08,09,10,11,12",N,N,0,0,1.6,0,0,N,Not Title I,,,,,,
2020-2021,340,Winston Salem / Forsyth County Schools,340400,Ibraham Elementary,N,"PK,0K,01,02,03,04,05",N,Y,453,305,1.6,453,100,Y,SW-SW,,,,,2005-2006,
2020-2021,340,Winston Salem / Forsyth County Schools,340403,Jefferson Elementary,N,"PK,0K,01,02,03,04,05",N,N,582,124,1.6,198,34.02,N,Not Title I,,,,,,
2020-2021,340,Winston Salem / Forsyth County Schools,340406,Thomas Jefferson Middle,N,"06,07,08",N,N,1246,222,1.6,355,28.49,N,Not Title I,,,,,,
2020-2021,340,Winston Salem / Forsyth County Schools,340416,Kernersville Elementary,N,"PK,0K,01,02,03,04,05",N,Y,744,352,1.6,563,75.67,Y,SW-SW,,,,,2012-2013,
2020-2021,340,Winston Salem / Forsyth County Schools,340420,Kernersville Middle,N,"06,07,08",N,N,780,201,1.6,322,41.28,N,SW,,,,,,
2020-2021,340,Winston Salem / Forsyth County Schools,340424,Kimberley Park Elementary,N,"PK,0K,01,02,03,04,05",N,Y,297,239,1.6,297,100,Y,SW-SW,,,,,2006-2007,
2020-2021,340,Winston Salem / Forsyth County Schools,340426,Kimmel Farm Elementary,N,"PK,0K,01,02,03,04,05",N,N,858,307,1.6,491,57.23,Y,SW-SW,,,,,2014-2015,
2020-2021,340,Winston Salem / Forsyth County Schools,340427,Kingswood School,N,"PK,0K,01,02,03,04,05,06,07,08,09,10,11,12",N,Y,61,43,1.6,61,100,Y,SW-SW,,,,,2011-2012,
2020-2021,340,Winston Salem / Forsyth County Schools,340428,Konnoak Elementary,N,"PK,0K,01,02,03,04,05",N,Y,655,358,1.6,573,87.48,Y,SW-SW,,,,,2004-2005,
2020-2021,340,Winston Salem / Forsyth County Schools,340430,Diggs-Latham Elementary,N,"PK,0K,01,02,03,04,05",N,Y,523,342,1.6,523,100,Y,SW-SW,,,,,2002-2003,
2020-2021,340,Winston Salem / Forsyth County Schools,340432,Lewisville Elementary,N,"PK,0K,01,02,03,04,05",N,N,595,77,1.6,123,20.67,N,Not Title I,,,,,,
2020-2021,340,Winston Salem / Forsyth County Schools,340436,Lowrance Middle,N,"06,07,08",N,N,137,51,1.6,82,59.85,Y,SW-SW,,,,,2020-2021,
2020-2021,340,Winston Salem / Forsyth County Schools,340440,Meadowlark Elementary,N,"PK,0K,01,02,03,04,05",N,N,828,111,1.6,178,21.5,N,Not Title I,,,,,,
2020-2021,340,Winston Salem / Forsyth County Schools,340442,Meadowlark Middle,N,"06,07,08",N,N,1199,132,1.6,211,17.6,N,Not Title I,,,,,,
2020-2021,340,Winston Salem / Forsyth County Schools,340446,Middle College of Forsyth Cnty,N,"11,12",N,N,91,18,1.6,29,31.87,N,Not Title I,,,,,,
2020-2021,340,Winston Salem / Forsyth County Schools,340448,Mineral Springs Elementary,N,"PK,0K,01,02,03,04,05",N,Y,627,381,1.6,610,97.29,Y,SW-SW,,,,,2006-2007,
2020-2021,340,Winston Salem / Forsyth County Schools,340452,Mineral Springs Middle,N,"06,07,08",N,Y,407,244,1.6,390,95.82,Y,SW-SW,,,,,2005-2006,
2020-2021,340,Winston Salem / Forsyth County Schools,340453,Moore Magnet Elementary,N,"PK,0K,01,02,03,04,05",N,Y,566,243,1.6,389,68.73,Y,SW-SW,,,,,2014-2015,
2020-2021,340,Winston Salem / Forsyth County Schools,340454,Mount Tabor High School,N,"09,10,11,12",N,N,1432,388,1.6,621,43.37,N,SW,,,,,2020-2021,
2020-2021,340,Winston Salem / Forsyth County Schools,340457,Frank Morgan Elementary,N,"PK,0K,01,02,03,04,05",N,N,773,150,1.6,240,31.05,N,Not Title I,,,,,,
2020-2021,340,Winston Salem / Forsyth County Schools,340460,North Forsyth High,N,"09,10,11,12",N,Y,916,410,1.6,656,71.62,Y,SW-SW,,,,,2012-2013,
2020-2021,340,Winston Salem / Forsyth County Schools,340462,North Hills Elementary,N,"PK,0K,01,02,03,04,05",N,Y,499,355,1.6,499,100,Y,SW-SW,,,,,2006-2007,
2020-2021,340,Winston Salem / Forsyth County Schools,340464,Northwest Middle,N,"06,07,08",N,Y,942,432,1.6,691,73.35,Y,SW-SW,,,,,2012-2013,
2020-2021,340,Winston Salem / Forsyth County Schools,340472,Old Richmond Elementary,N,"PK,0K,01,02,03,04,05",N,N,476,141,1.6,226,47.48,N,SW,,,,,2020-2021,
2020-2021,340,Winston Salem / Forsyth County Schools,340476,Old Town Elementary,N,"PK,0K,01,02,03,04,05",N,Y,683,385,1.6,616,90.19,Y,SW-SW,,,,,2004-2005,
2020-2021,340,Winston Salem / Forsyth County Schools,340480,Paisley IB Magnet School,N,"06,07,08,09,10",N,N,893,357,1.6,571,63.94,Y,SW-SW,,,,,2014-2015,
2020-2021,340,Winston Salem / Forsyth County Schools,340486,Parkland High,N,"09,10,11,12",N,Y,1369,594,1.6,950,69.39,Y,SW-SW,,,,,2012-2013,
2020-2021,340,Winston Salem / Forsyth County Schools,340488,J F Kennedy High,N,"06,07,08,09,10,11,12",N,Y,389,191,1.6,306,78.66,Y,SW-SW,,,,,2006-2007,
2020-2021,340,Winston Salem / Forsyth County Schools,340490,Petree Elementary,N,"PK,0K,01,02,03,04,05",N,Y,406,312,1.6,406,100,Y,SW-SW,,,,,2010-2011,
2020-2021,340,Winston Salem / Forsyth County Schools,340492,Philo-Hill Magnet Academy,N,"06,07,08",N,Y,550,399,1.6,550,100,Y,SW-SW,,,,,2003-2004,
2020-2021,340,Winston Salem / Forsyth County Schools,340494,Piney Grove Elementary,N,"PK,0K,01,02,03,04,05",N,N,649,142,1.6,227,34.98,N,Not Title I,,,,,,
2020-2021,340,Winston Salem / Forsyth County Schools,340495,Ronald W Reagan High School,N,"09,10,11,12",N,N,1988,189,1.6,302,15.19,N,Not Title I,,,,,,
2020-2021,340,Winston Salem / Forsyth County Schools,340496,R J Reynolds High,N,"09,10,11,12",N,N,1670,502,1.6,803,48.08,N,SW,,,,,2020-2021,
2020-2021,340,Winston Salem / Forsyth County Schools,340504,Rural Hall Elementary,N,"PK,0K,01,02,03,04,05",N,N,643,233,1.6,373,58.01,Y,SW-SW,,,,,2014-2015,
2020-2021,340,Winston Salem / Forsyth County Schools,340508,Sedge Garden Elementary,N,"PK,0K,01,02,03,04,05",N,N,749,203,1.6,325,43.39,N,SW,,,,,2020-2021,
2020-2021,340,Winston Salem / Forsyth County Schools,340512,Sherwood Forest Elementary,N,"PK,0K,01,02,03,04,05",N,N,698,68,1.6,109,15.62,N,Not Title I,,,,,,
2020-2021,340,Winston Salem / Forsyth County Schools,340514,Smith Farm Elementary,N,"PK,0K,01,02,03,04,05",N,N,599,232,1.6,371,61.94,Y,SW-SW,,,,,2014-2015,
2020-2021,340,Winston Salem / Forsyth County Schools,340516,Southeast Middle,N,"06,07,08",N,N,1127,323,1.6,517,45.87,N,SW,,,,,2020-2021,
2020-2021,340,Winston Salem / Forsyth County Schools,340520,South Fork Elementary,N,"PK,0K,01,02,03,04,05",N,Y,479,264,1.6,422,88.1,Y,SW-SW,,,,,2006-2007,
2020-2021,340,Winston Salem / Forsyth County Schools,340528,Southwest Elementary,N,"PK,0K,01,02,03,04,05",N,N,620,95,1.6,152,24.52,N,Not Title I,,,,,,
2020-2021,340,Winston Salem / Forsyth County Schools,340530,Speas Elementary,N,"PK,0K,01,02,03,04,05",N,Y,772,325,1.6,520,67.36,Y,SW-SW,,,,,2006-2007,
2020-2021,340,Winston Salem / Forsyth County Schools,340531,The Special Children's School,N,"PK,0K,01,02,03,04,05",N,Y,97,41,1.6,66,68.04,N,SW,,,,,2020-2021,
2020-2021,340,Winston Salem / Forsyth County Schools,340532,Union Cross Traditional Acad,N,"PK,0K,01,02,03,04,05",N,N,574,199,1.6,318,55.4,Y,SW-SW,,,,,2014-2015,
2020-2021,340,Winston Salem / Forsyth County Schools,340536,Vienna Elementary,N,"PK,0K,01,02,03,04,05",N,N,835,102,1.6,163,19.52,N,Not Title I,,,,,,
2020-2021,340,Winston Salem / Forsyth County Schools,340540,Walkertown Elementary,N,"PK,0K,01,02,03,04,05",N,Y,709,284,1.6,454,64.03,Y,SW-SW,,,,,2012-2013,
2020-2021,340,Winston Salem / Forsyth County Schools,340542,Walkertown High,N,"09,10,11,12",N,N,681,172,1.6,275,40.38,N,SW,,,,,2020-2021,
2020-2021,340,Winston Salem / Forsyth County Schools,340544,Walkertown Middle,N,"06,07,08",N,Y,719,300,1.6,480,66.76,Y,SW-SW,,,,,2012-2013,
2020-2021,340,Winston Salem / Forsyth County Schools,340548,Ward Elementary,N,"PK,0K,01,02,03,04,05",N,N,689,261,1.6,418,60.67,Y,SW-SW,,,,,2013-2014,
2020-2021,340,Winston Salem / Forsyth County Schools,340556,West Forsyth High,N,"09,10,11,12",N,N,2294,304,1.6,486,21.19,N,Not Title I,,,,,,
2020-2021,340,Winston Salem / Forsyth County Schools,340560,Whitaker Elementary,N,"PK,0K,01,02,03,04,05",N,N,607,67,1.6,107,17.63,N,Not Title I,,,,,,
2020-2021,340,Winston Salem / Forsyth County Schools,340564,Wiley Magnet Middle,N,"06,07,08",N,Y,705,304,1.6,486,68.94,Y,SW-SW,,,,,2009-2010,
2020-2021,340,Winston Salem / Forsyth County Schools,340568,Winston-Salem Preparatory Acad,N,"06,07,08,09,10,11,12",N,Y,316,213,1.6,316,100,Y,SW-SW,,,,,2009-2010,
2020-2021,34B,Quality Education Academy,34B000,Quality Education Academy,Y,"0K,01,02,03,04,05,06,07,08,09,10,11,12",N,Y,558,N/A,N/A,520,93.19,Y,SW-SW,,,,,2006-2007,
2020-2021,34D,Carter G Woodson School,34D000,Carter G. Woodson School,Y,"0K,01,02,03,04,05,06,07,08,09,10,11,12",N,Y,364,364,1.6,364,100,Y,SW-SW,,,,,2006-2007,
2020-2021,34F,Forsyth Academy,34F000,Forsyth Academy,Y,"0K,01,02,03,04,05,06,07,08",N,N,706,N/A,N/A,558,79.04,Y,SW-SW,,,,,2005-2006,
2020-2021,34G,Arts Based School,34G000,The Arts Based School,Y,"0K,01,02,03,04,05,06,07,08",N,N,521,N/A,N/A,82,15.74,Y,TAS-TAS,Charter School,,28,"0K,01,02,03,04",2011-2012,
2020-2021,34H,NC Leadership Charter Academy,34H000,NC Leadership Charter Academy,Y,"0K,01,02,03,04,05,06,07,08,09,10,11,12",N,Y,950,331,1.6,530,55.79,N,SW,,,,,,
2020-2021,34Z,Appalachian State U Academy Middle Fork,34Z000,Appalachian Academy at Middle Fork,Y,"0K,01,02,03,04,05",N,Y,315,134,1.6,214,67.94,Y,SW-SW,,,,,2018-2019,
2020-2021,350,Franklin County Schools,350304,Bunn Elementary,N,"PK,0K,01,02,03,04,05",N,N,546,N/A,N/A,371,67.95,Y,SW-SW,,,,,2006-2007,
2020-2021,350,Franklin County Schools,350308,Bunn High,N,"09,10,11,12,XG",N,N,817,N/A,N/A,447,54.71,N,SW,,,,,,
2020-2021,350,Franklin County Schools,350310,Bunn Middle,N,"06,07,08",N,N,660,N/A,N/A,432,65.45,Y,SW-SW,,,,,2015-2016,
2020-2021,350,Franklin County Schools,350312,Cedar Creek Middle,N,"06,07,08",N,N,620,N/A,N/A,301,48.55,Y,SW-SW,,,,,2015-2016,
2020-2021,350,Franklin County Schools,350316,Edward Best Elementary,N,"PK,0K,01,02,03,04,05",N,N,483,N/A,N/A,330,68.32,Y,SW-SW,,,,,2006-2007,
2020-2021,350,Franklin County Schools,350317,Franklin County Early College,N,"09,10,11,12,13,XG",N,N,184,N/A,N/A,71,38.59,N,TAS,,,,,,
2020-2021,350,Franklin County Schools,350318,Franklinton Elementary,N,"PK,0K,01,02,03,04,05",N,N,480,N/A,N/A,349,72.71,Y,SW-SW,,,,,2004-2005,
2020-2021,350,Franklin County Schools,350321,Franklinton High,N,"09,10,11,12,XG",N,N,1114,N/A,N/A,456,40.93,N,SW,,,,,,
2020-2021,350,Franklin County Schools,350324,Franklinton Middle,N,"06,07,08",N,N,250,N/A,N/A,173,69.2,Y,SW-SW,,,,,2014-2015,
2020-2021,350,Franklin County Schools,350330,Laurel Mill Elementary,N,"PK,0K,01,02,03,04,05",N,N,310,N/A,N/A,223,71.94,Y,SW-SW,,,,,2006-2007,
2020-2021,350,Franklin County Schools,350331,Long Mill Elementary,N,"PK,0K,01,02,03,04,05",N,N,457,N/A,N/A,245,53.61,Y,SW-SW,,,,,2006-2007,
2020-2021,350,Franklin County Schools,350332,Louisburg Elementary,N,"PK,0K,01,02,03,04,05",N,N,463,N/A,N/A,383,82.72,Y,SW-SW,,,,,2004-2005,
2020-2021,350,Franklin County Schools,350336,Louisburg High,N,"09,10,11,12,XG",N,N,510,N/A,N/A,298,58.43,N,SW,,,,,,
2020-2021,350,Franklin County Schools,350338,Terrell Lane Middle,N,"06,07,08",N,N,476,N/A,N/A,336,70.59,Y,SW-SW,,,,,2015-2016,
2020-2021,350,Franklin County Schools,350339,Royal Elementary,N,"PK,0K,01,02,03,04,05",N,N,425,N/A,N/A,283,66.59,Y,SW-SW,,,,,2006-2007,
